               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12009,            0.043272,            0.030431,            0.004749,            0.011364,           0.0010371,          0.00028743,             0.12126,            0.036637,            0.031079,               3e-05,               3e-05,             0.09973
                   1,             0.12073,            0.044831,            0.030318,           0.0039208,            0.017536,           0.0011134,          0.00028316,             0.11981,            0.036481,            0.030881,          6.9998e-05,          6.9998e-05,             0.09937
                   2,             0.11708,             0.05177,            0.030187,           0.0056282,            0.023218,           0.0011101,          0.00031112,             0.11762,            0.036661,            0.030537,          0.00010998,          0.00010998,             0.09901
                   3,             0.11777,            0.043705,            0.029939,           0.0049408,            0.023218,           0.0013649,          0.00034351,             0.11538,              0.0369,            0.030129,          0.00014995,          0.00014995,             0.09865
                   4,             0.11493,            0.048616,            0.029005,           0.0072862,            0.034582,            0.002346,           0.0003934,             0.11282,            0.037376,            0.029627,          0.00018989,          0.00018989,             0.09829
                   5,             0.11201,            0.045883,            0.029233,           0.0093798,            0.017045,           0.0025852,          0.00059131,             0.11029,            0.037912,            0.029082,           0.0002298,           0.0002298,             0.09793
                   6,             0.11163,            0.045277,            0.028704,            0.012117,            0.017045,           0.0029577,          0.00075521,              0.1079,            0.038466,              0.0285,          0.00026965,          0.00026965,             0.09757
                   7,             0.10039,            0.043069,            0.026098,           0.0084777,            0.056818,           0.0036633,           0.0010918,             0.10569,            0.038958,            0.027864,          0.00030946,          0.00030946,            0.097209
                   8,              0.1063,            0.048725,            0.027137,            0.025204,            0.017045,            0.011395,           0.0015706,             0.10358,            0.039453,            0.027163,           0.0003492,           0.0003492,            0.096849
                   9,             0.10537,            0.051151,            0.027274,            0.040896,            0.022727,            0.012859,           0.0025941,             0.10163,            0.039823,            0.026478,          0.00038888,          0.00038888,            0.096489
